ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,7.9354132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,space,33.4208633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,space,9.94273100002,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,6,190.068,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.1131202,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud65-35_D1.3_30,1.3,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,1,space,5.42201939999,3,11.011,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud80-20_D1.5_30,1.5,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,1,space,5.02733680001,5,2.485,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud_D1.4_30,1.4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,1,None,,4,4.049,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud65-35_D1.6_30,1.6,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,13.975,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud65-35_D1.2_30,1.2,1,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,1,space,5.41730550001,5,2.367,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud_D1.6_28,1.6,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,2,space,3.44036810001,5,14.64,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud65-35_D1.9_29,1.9,1,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,24.179,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud_D0.8_30,0.8,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,33.455,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud80-20_D1_30,1.0,2,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,1,space,6.21306139999,2,2.732,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
pratique/fcloud80-20_D1.8_30,1.8,2,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,1,None,,1,1.92,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.97163559997,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,None,None,,None,84.512,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,None,None,,None,94.335,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud65-35_D1.9_2.tif,1.9,1,,,,,0,2,2,70,,,,,,,,,,,,,,,,,,,1,None,,2,1.701,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud80-20_D0.9_3.tif,0.9,2,,,,,0,3,3,77,,,,,,,,,,,,,,,,,,,1,space,5.13099390001,4,2.101,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud65-35_D1.6_1.tif,1.6,1,,,,,0,4,4,60,,,,,,,,,,,,,,,,,,,None,None,,None,11.027,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud65-35_D1.3_2.tif,1.3,1,,,,,0,5,5,52,,,,,,,,,,,,,,,,,,,None,None,,None,20.166,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,6,6,90,,,,,,,,,,,,,,,,,,,1,None,,1,1.002,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud80-20_D1.6_1.tif,1.6,2,,,,,0,7,7,96,,,,,,,,,,,,,,,,,,,1,space,4.53557170002,3,1.357,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud_D1.7_1.tif,1.7,0,,,,,0,8,8,27,,,,,,,,,,,,,,,,,,,None,None,,None,10.976,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud65-35_D0.9_1.tif,0.9,1,,,,,0,9,9,39,,,,,,,,,,,,,,,,,,,None,None,,None,19.935,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud_D0.9_2.tif,0.9,0,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,None,None,,None,28.909,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
images/fcloud80-20_D1.1_2.tif,1.1,2,,,,,0,11,11,82,,,,,,,,,,,,,,,,,,,None,None,,None,37.368,,,,,,,,,,,,,,,,,,2019_Mar_25_1619,60.45609285182913,Cloud_Experiment_FR_REAL,001,28,
