ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,reaction_time.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
images/fcloud_D1.8_5.tif,1.8,0,,,,,,,,,0,56,56,31,,,,,,,,,,,,,,,None,None,None,19.919,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.5_5.tif,1.5,0,,,,,,,,,0,57,57,22,,,,,,,,,,,,,,,None,None,None,28.909,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.4_5.tif,1.4,2,,,,,,,,,0,58,58,91,,,,,,,,,,,,,,,None,None,None,37.836,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D0.8_6.tif,0.8,0,,,,,,,,,0,59,59,2,,,,,,,,,,,,,,,2,None,3,1.52,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.7_5.tif,1.7,2,,,,,,,,,0,60,60,100,,,,,,,,,,,,,,,1,None,4,0.587,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.4_6.tif,1.4,0,,,,,,,,,0,61,61,20,,,,,,,,,,,,,,,None,None,None,9.094,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.4_5.tif,1.4,1,,,,,,,,,0,62,62,55,,,,,,,,,,,,,,,None,None,None,18.052,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.9_6.tif,1.9,2,,,,,,,,,0,63,63,107,,,,,,,,,,,,,,,None,None,None,26.646,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1_5.tif,1.0,0,,,,,,,,,0,64,64,7,,,,,,,,,,,,,,,None,None,None,35.255,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.1_5.tif,1.1,1,,,,,,,,,0,65,65,46,,,,,,,,,,,,,,,None,None,None,43.93,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.5_4.tif,1.5,1,,,,,,,,,0,66,66,57,,,,,,,,,,,,,,,None,None,None,52.543,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.9_5.tif,1.9,0,,,,,,,,,0,67,67,34,,,,,,,,,,,,,,,None,None,None,61.014,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D0.9_6.tif,0.9,0,,,,,,,,,0,68,68,5,,,,,,,,,,,,,,,None,None,None,69.492,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
