ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,389.8385758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,space,95.3697671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,space,41.481859,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,4,18.515,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.97706809999,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud65-35_D1.3_30,1.3,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,1,space,19.1639773,2,20.719,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud65-35_D1.2_30,1.2,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,1,space,3.89372360001,2,9.844,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud_D1.4_30,1.4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,2,space,4.7523676,3,6.398,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud_D0.8_30,0.8,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,3,space,2.3038728,3,3.766,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud80-20_D1.8_30,1.8,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1,space,5.0824669,1,3.533,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud65-35_D1.9_29,1.9,1,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,13.707,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud_D1.6_28,1.6,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,1,None,,1,3.265,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud65-35_D1.6_30,1.6,1,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,14.006,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud80-20_D1.5_30,1.5,2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,1,space,6.6737351,2,1.867,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
pratique/fcloud80-20_D1_30,1.0,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,3,space,1.99879149999,2,3.232,,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2019_Sep_27_1135,59.613904582999865,Cloud_Experiment_FR_REAL,001,51,
