ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,8.23581228696,,,,,,,,,,,,,,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
,,,,,,,,,,,,,,,,,,,,,space,21.3993193887,,,,,,,,,,,,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
,,,,,,,,,,,,,,,,,,,,,,,space,8.24395597621,,,,,,,,,,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
,,,,,,,,,,,,,,,,,,,,,,,,,8,47.688,,,,,,,,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.79873182159,,,,,,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
pratique/fcloud65-35_D1.2_30,1.2,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,1,space,7.41490405123,2,13.041,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
pratique/fcloud80-20_D1.8_30,1.8,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,1,space,6.97377744422,1,3.499,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
pratique/fcloud_D1.4_30,1.4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,2,space,5.86908513296,3,17.854,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
pratique/fcloud65-35_D1.6_30,1.6,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,28.344,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
pratique/fcloud_D0.8_30,0.8,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,1,space,7.2355681099,2,3.849,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,36.4195706598,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
images/fcloud80-20_D1.5_1.tif,1.5,2,,,,,0,0,0,93,,,,,,,,,,,,,,,,,,,1,space,4.68851699727,1,1.317,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
images/fcloud80-20_D1.5_3.tif,1.5,2,,,,,0,1,1,95,,,,,,,,,,,,,,,,,,,None,None,,None,11.624,,,,,2019_Jan_11_1237,60.146988806616875,Cloud_Experiment_FR_REAL,001,02,
