ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,6.6632751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,space,28.4416521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,,,space,11.7426874,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,,,,,4,43.074,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.1483098,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud80-20_D1.5_30,1.5,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,space,0.00851869999315,1,23.149,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,4,None,,4,3.184,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud65-35_D1.6_30,1.6,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,None,,4,5.231,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud_D0.8_30,0.8,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,15.738,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,2,space,4.8268676,3,1.585,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud65-35_D1.2_30,1.2,1,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,12.458,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud65-35_D1.3_30,1.3,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,23.681,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud80-20_D1_30,1.0,2,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,1,space,6.01674949999,2,2.333,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud_D1.4_30,1.4,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,1,None,,1,2.101,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
pratique/fcloud80-20_D1.8_30,1.8,2,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,1,None,,1,2.235,,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2019_Apr_10_1549,60.29682923439816,Cloud_Experiment_FR_REAL,001,32,
