ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,171.2349775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,space,14.3057457999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,space,7.59726850002,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,6,52.352,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,36.0363729,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud_D0.8_30,0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,space,11.6878867999,1,5.597,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud80-20_D1_30,1.0,2,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,2,None,,3,3.432,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,1,None,,2,8.213,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,1,space,0.00791799998842,1,27.178,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,1,space,4.09990869998,2,2.5,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud65-35_D1.6_30,1.6,1,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,2,space,5.28632499999,3,6.38,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud_D1.4_30,1.4,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,3,space,2.51381489995,3,1.935,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud80-20_D1.5_30,1.5,2,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,1,None,,2,1.883,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud65-35_D1.2_30,1.2,1,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,1,space,9.65237039991,1,0.686,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
pratique/fcloud_D1.6_28,1.6,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,3,space,2.24297700007,3,2.268,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.782992199995,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.7_3.tif,1.7,1,,,,,0,0,0,65,,,,,,,,,,,,,,,,,,,1,space,2.9937775,4,3.6,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.9_3.tif,1.9,0,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,None,None,,None,12.689,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.6_2.tif,1.6,1,,,,,0,2,2,61,,,,,,,,,,,,,,,,,,,2,space,2.77822119999,3,1.668,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,3,3,48,,,,,,,,,,,,,,,,,,,4,space,3.02254239994,4,2.384,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.2_2.tif,1.2,0,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,3,space,5.06032240007,4,1.7,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud80-20_D1.9_2.tif,1.9,2,,,,,0,5,5,106,,,,,,,,,,,,,,,,,,,1,space,2.98977510002,4,1.634,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.5_2.tif,1.5,1,,,,,0,6,6,58,,,,,,,,,,,,,,,,,,,2,space,2.98313730001,2,2.782,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D0.9_2.tif,0.9,1,,,,,0,7,7,40,,,,,,,,,,,,,,,,,,,1,space,2.13295230002,4,1.451,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.9_2.tif,1.9,0,,,,,0,8,8,34,,,,,,,,,,,,,,,,,,,1,space,6.21884240001,2,2.65,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.6_3.tif,1.6,1,,,,,0,9,9,62,,,,,,,,,,,,,,,,,,,2,space,4.21454979992,4,1.616,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1_2.tif,1.0,0,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,2,space,5.67886949994,2,1.135,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1_3.tif,1.0,0,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,3,space,2.37537450006,4,1.652,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud65-35_D1.8_2.tif,1.8,1,,,,,0,12,12,67,,,,,,,,,,,,,,,,,,,1,space,6.65446550003,2,2.467,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.3_1.tif,1.3,0,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,2,space,3.75116790005,3,1.002,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,14,14,102,,,,,,,,,,,,,,,,,,,2,None,,2,1.183,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud80-20_D1.7_3.tif,1.7,2,,,,,0,15,15,101,,,,,,,,,,,,,,,,,,,2,None,,3,1.319,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.8_3.tif,1.8,0,,,,,0,16,16,32,,,,,,,,,,,,,,,,,,,1,None,,1,0.951,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud80-20_D1_2.tif,1.0,2,,,,,0,17,17,79,,,,,,,,,,,,,,,,,,,4,None,,4,1.735,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,18,18,14,,,,,,,,,,,,,,,,,,,3,None,,4,0.789,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud_D0.8_3.tif,0.8,0,,,,,0,19,19,2,,,,,,,,,,,,,,,,,,,3,None,,4,2.566,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
images/fcloud80-20_D1.3_1.tif,1.3,2,,,,,0,20,20,87,,,,,,,,,,,,,,,,,,,2,None,,2,0.685,,,,,,,,,,,,,,,,,,2019_Mar_28_1542,59.957142671037985,Cloud_Experiment_FR_REAL,001,29,
