ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,Flow01.response,Flow01.rt,Flow02.response,Flow02.rt,Flow03.response,Flow03.rt,Flow04.response,Flow04.rt,Flow05.response,Flow05.rt,Flow06.response,Flow06.rt,Flow07.response,Flow07.rt,Flow08.response,Flow08.rt,Flow09.response,Flow09.rt,Flow10.response,Flow10.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,15.027171963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
,,,,,,,,,,,,,,,,,,,,,space,153.733867129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
,,,,,,,,,,,,,,,,,,,,,,,space,34.2879226696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
,,,,,,,,,,,,,,,,,,,,,,,,,8,11.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.73393189994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud80-20_D1_30,1.0,2,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,None,None,None,231.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud_D1.4_30,1.4,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,241.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud_D0.8_30,0.8,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,None,None,None,252.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud65-35_D1.6_30,1.6,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,1,None,4,6.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud65-35_D1.2_30,1.2,1,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,16.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud80-20_D1.5_30,1.5,2,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,None,None,None,25.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud_D1.6_28,1.6,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,1,space,5,2.718,8.02079510043,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud65-35_D1.9_29,1.9,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,12.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud80-20_D1.8_30,1.8,2,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,21.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
pratique/fcloud65-35_D1.3_30,1.3,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,29.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,47.3079636501,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1.9_1.tif,1.9,2,,,,,0,0,0,105,,,,,,,,,,,,,,,,,,,None,None,None,86.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,1,1,90,,,,,,,,,,,,,,,,,,,None,None,None,95.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1.6_1.tif,1.6,2,,,,,0,2,2,96,,,,,,,,,,,,,,,,,,,None,None,None,103.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.9_3.tif,1.9,1,,,,,0,3,3,71,,,,,,,,,,,,,,,,,,,1,None,4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D0.9_3.tif,0.9,2,,,,,0,4,4,77,,,,,,,,,,,,,,,,,,,1,None,3,3.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1_3.tif,1.0,2,,,,,0,5,5,80,,,,,,,,,,,,,,,,,,,None,None,None,12.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.5_3.tif,1.5,0,,,,,0,6,6,23,,,,,,,,,,,,,,,,,,,1,None,4,3.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1.1_3.tif,1.1,2,,,,,0,7,7,83,,,,,,,,,,,,,,,,,,,None,None,None,12.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.4_2.tif,1.4,1,,,,,0,8,8,55,,,,,,,,,,,,,,,,,,,None,None,None,21.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.3_3.tif,1.3,1,,,,,0,9,9,53,,,,,,,,,,,,,,,,,,,None,None,None,30.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.2_2.tif,1.2,0,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,1,space,5,2.401,6.00452420535,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.6_3.tif,1.6,0,,,,,0,11,11,26,,,,,,,,,,,,,,,,,,,None,None,None,11.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.1_1.tif,1.1,1,,,,,0,12,12,45,,,,,,,,,,,,,,,,,,,None,None,None,20.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1_3.tif,1.0,0,,,,,0,13,13,8,,,,,,,,,,,,,,,,,,,None,None,None,29.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D0.9_1.tif,0.9,2,,,,,0,14,14,75,,,,,,,,,,,,,,,,,,,None,None,None,37.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.6_1.tif,1.6,0,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,None,None,None,46.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.8_1.tif,1.8,0,,,,,0,16,16,30,,,,,,,,,,,,,,,,,,,None,None,None,54.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.7_1.tif,1.7,1,,,,,0,17,17,63,,,,,,,,,,,,,,,,,,,None,None,None,63.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud80-20_D1.8_2.tif,1.8,2,,,,,0,18,18,103,,,,,,,,,,,,,,,,,,,None,None,None,72.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.8_3.tif,1.8,0,,,,,0,19,19,32,,,,,,,,,,,,,,,,,,,1,None,5,1.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud65-35_D1.2_3.tif,1.2,1,,,,,0,20,20,50,,,,,,,,,,,,,,,,,,,1,None,4,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.3_3.tif,1.3,0,,,,,0,21,21,17,,,,,,,,,,,,,,,,,,,None,None,None,12.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
images/fcloud_D1.3_2.tif,1.3,0,,,,,0,22,22,16,,,,,,,,,,,,,,,,,,,None,None,None,20.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1608,60.50555193460508,Cloud_Experiment_FR_REAL,001,09,
