ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,13.3235208391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,space,158.631107963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,space,49.7911262427,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,5,15.172,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.54695269489,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud80-20_D1.8_30,1.8,2,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,255.86,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud80-20_D1_30,1.0,2,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,None,None,None,266.633,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,1,space,2,8.512,5.53157056274,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,2,space,4,6.579,2.72345061891,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,18.152,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud_D1.4_30,1.4,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,1,space,3,3.782,6.7317644651,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud65-35_D1.6_30,1.6,1,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,2,space,2,2.302,4.12790667196,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud_D1.6_28,1.6,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,2,space,5,3.001,1.20365607727,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud65-35_D1.2_30,1.2,1,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,4,space,4,5.114,4.12688832474,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
pratique/fcloud_D0.8_30,0.8,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,2,space,3,4.184,4.09247733909,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.36790967395,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud80-20_D1.3_2.tif,1.3,2,,,,,0,0,0,88,,,,,,,,,,,,,,,,,,,1,space,2,2.001,5.23828348087,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud65-35_D1.2_3.tif,1.2,1,,,,,0,1,1,50,,,,,,,,,,,,,,,,,,,2,space,5,2.532,4.60371231509,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud65-35_D1_2.tif,1.0,1,,,,,0,2,2,43,,,,,,,,,,,,,,,,,,,1,space,4,3.715,5.33028891555,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud_D1.3_3.tif,1.3,0,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,2,space,2,1.184,6.39208012715,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud65-35_D1.4_3.tif,1.4,1,,,,,0,4,4,56,,,,,,,,,,,,,,,,,,,1,space,1,0.752,5.63060984144,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,None,None,None,10.093,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud80-20_D1.9_3.tif,1.9,2,,,,,0,6,6,107,,,,,,,,,,,,,,,,,,,None,None,None,19.368,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud80-20_D1.8_3.tif,1.8,2,,,,,0,7,7,104,,,,,,,,,,,,,,,,,,,None,None,None,28.743,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud65-35_D1.3_3.tif,1.3,1,,,,,0,8,8,53,,,,,,,,,,,,,,,,,,,2,space,5,1.417,3.4368745531,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud_D1.5_2.tif,1.5,0,,,,,0,9,9,22,,,,,,,,,,,,,,,,,,,None,None,None,10.443,,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,10,10,89,,,,,,,,,,,,,,,,,,,1,space,1,2.683,6.25248122541,,,,,,,,,,,,,,,,,,2019_Feb_07_1733,59.76316654956823,Cloud_Experiment_FR_REAL,001,16,
