ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,32.3563214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
,,,,,,,,,,,,,,,,,,,,,space,156.5634447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
,,,,,,,,,,,,,,,,,,,,,,,space,49.6592382,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
,,,,,,,,,,,,,,,,,,,,,,,,,6,39.562,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.3327771,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
pratique/fcloud65-35_D1.9_29,1.9,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,300.939,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
pratique/fcloud_D1.4_30,1.4,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,space,2,28.312,5.6385075,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,39.1,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,50.994,,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
pratique/fcloud_D1.6_28,1.6,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,2,space,3,4.683,3.9585243,,,,,,,,,,,,,,,,,,2019_Mar_13_1614,60.247496717011906,Cloud_Experiment_FR_REAL,001,23,
