ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,8.02049231104,,,,,,,,,,,,,,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
,,,,,,,,,,,,,,,,,,,,,space,37.0507043846,,,,,,,,,,,,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
,,,,,,,,,,,,,,,,,,,,,,,space,99.0162127984,,,,,,,,,,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
,,,,,,,,,,,,,,,,,,,,,,,,,9,11.637,,,,,,,,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.06624377024,,,,,,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
pratique/fcloud_D1.4_30,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,2,space,0.00494367233478,2,5.082,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
pratique/fcloud65-35_D1.2_30,1.2,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,2,space,3.4235797287,3,2.666,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
pratique/fcloud65-35_D1.6_30,1.6,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,space,6.00642518047,1,2.516,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
pratique/fcloud_D0.8_30,0.8,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,12.473,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
pratique/fcloud80-20_D1.8_30,1.8,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,3,space,4.84846258833,3,3.349,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,71.5397845593,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,1,space,5.97702428652,1,1.651,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,1,1,102,,,,,,,,,,,,,,,,,,,None,None,,None,11.491,,,,,2019_Jan_16_1616,60.03150757049898,Cloud_Experiment_FR_REAL,001,05,
