ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,18.2714936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
,,,,,,,,,,,,,,,,,,,,,space,191.0336494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
,,,,,,,,,,,,,,,,,,,,,,,space,18.1529034,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
,,,,,,,,,,,,,,,,,,,,,,,,,7,102.058,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.9269818,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud_D1.6_28,1.6,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,None,None,None,350.378,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud65-35_D1.2_30,1.2,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,359.835,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud80-20_D1_30,1.0,2,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,None,None,None,368.711,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud80-20_D1.5_30,1.5,2,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,1,None,3,4.132,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud65-35_D1.6_30,1.6,1,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.523,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud65-35_D1.3_30,1.3,1,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,23.114,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud65-35_D1.9_29,1.9,1,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,1,space,4,1.517,5.3868339,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud_D0.8_30,0.8,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,2,space,2,5.63,5.42097770004,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
pratique/fcloud_D1.4_30,1.4,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,1,None,2,5.164,,,,,,,,,,,,,,,,,,,2019_Apr_04_1555,59.91288667600263,Cloud_Experiment_FR_REAL,001,31,
