ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,Flow01.response,Flow01.rt,Flow02.response,Flow02.rt,Flow03.response,Flow03.rt,Flow04.response,Flow04.rt,Flow05.response,Flow05.rt,Flow06.response,Flow06.rt,Flow07.response,Flow07.rt,Flow08.response,Flow08.rt,Flow09.response,Flow09.rt,Flow10.response,Flow10.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
images/fcloud_D1.2_4.tif,1.2,0,,,,,,,,,0,62,62,12,,,,,,,,,,,,,,,1,space,2,1.785,6.62534737322,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.6_4.tif,1.6,0,,,,,,,,,0,63,63,24,,,,,,,,,,,,,,,2,space,2,0.919,4.62253497378,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1_5.tif,1.0,1,,,,,,,,,0,64,64,43,,,,,,,,,,,,,,,2,space,3,0.801,2.11524463404,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.3_6.tif,1.3,0,,,,,,,,,0,65,65,17,,,,,,,,,,,,,,,1,space,2,1.419,5.85495040903,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.5_5.tif,1.5,2,,,,,,,,,0,66,66,94,,,,,,,,,,,,,,,1,space,1,0.719,5.57590856799,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.3_5.tif,1.3,2,,,,,,,,,0,67,67,88,,,,,,,,,,,,,,,None,None,None,9.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D0.9_5.tif,0.9,0,,,,,,,,,0,68,68,4,,,,,,,,,,,,,,,2,space,3,0.969,2.24275309796,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.7_5.tif,1.7,1,,,,,,,,,0,69,69,64,,,,,,,,,,,,,,,1,space,2,1.251,7.8071380764,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.9_5.tif,1.9,0,,,,,,,,,0,70,70,34,,,,,,,,,,,,,,,None,None,None,15.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.8_6.tif,0.8,1,,,,,,,,,0,71,71,38,,,,,,,,,,,,,,,2,space,4,1.052,1.98630503868,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.2_6.tif,1.2,1,,,,,,,,,0,72,72,50,,,,,,,,,,,,,,,1,space,3,0.902,7.10594947654,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.9_6.tif,0.9,1,,,,,,,,,0,73,73,41,,,,,,,,,,,,,,,1,None,1,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.1_5.tif,1.1,1,,,,,,,,,0,74,74,46,,,,,,,,,,,,,,,1,space,1,2.268,4.9285421274,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
