ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,10.7097065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,space,29.8080724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,space,10.8076073,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,7,177.295,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.7445416,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud65-35_D1.3_30,1.3,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,1,space,30.7738652,3,8.212,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud65-35_D1.9_29,1.9,1,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,2,space,3.70662119996,4,3.649,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,4,space,2.34786710003,3,3.3,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud_D1.4_30,1.4,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,2,space,3.37824809999,3,2.851,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud_D0.8_30,0.8,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,2,space,3.07940829999,2,2.667,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud80-20_D1_30,1.0,2,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,1,space,1.97197050002,1,1.168,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud_D1.6_28,1.6,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,2,space,1.69134999998,4,5.981,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud65-35_D1.2_30,1.2,1,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,3,space,2.90688170004,2,2.4,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud80-20_D1.8_30,1.8,2,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,1,space,4.36060740001,1,1.035,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
pratique/fcloud65-35_D1.6_30,1.6,1,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,2,space,2.29598729999,3,1.584,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.58270619996,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.8_3.tif,1.8,0,,,,,0,0,0,32,,,,,,,,,,,,,,,,,,,3,space,5.03414959996,2,2.268,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud80-20_D1_2.tif,1.0,2,,,,,0,1,1,79,,,,,,,,,,,,,,,,,,,2,space,3.39290090004,4,2.866,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,3,space,1.6073498,4,2.633,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.1_2.tif,1.1,1,,,,,0,3,3,46,,,,,,,,,,,,,,,,,,,1,space,6.09397240001,1,0.951,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,4,4,48,,,,,,,,,,,,,,,,,,,2,space,3.70769729995,4,1.652,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.2_2.tif,1.2,0,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,2,space,4.22340449999,3,1.684,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.3_3.tif,1.3,1,,,,,0,6,6,53,,,,,,,,,,,,,,,,,,,1,space,6.550131,1,0.802,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud80-20_D1.5_1.tif,1.5,2,,,,,0,7,7,93,,,,,,,,,,,,,,,,,,,1,space,4.74629699998,5,2.65,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.4_2.tif,1.4,0,,,,,0,8,8,19,,,,,,,,,,,,,,,,,,,2,space,1.72231249994,3,1.584,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.3_2.tif,1.3,1,,,,,0,9,9,52,,,,,,,,,,,,,,,,,,,1,space,4.78017370001,2,1.004,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1_2.tif,1.0,0,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,2,space,3.7203321,4,1.701,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.8_2.tif,1.8,0,,,,,0,11,11,31,,,,,,,,,,,,,,,,,,,2,space,5.47445360001,2,1.95,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.3_2.tif,1.3,0,,,,,0,12,12,16,,,,,,,,,,,,,,,,,,,2,space,1.80007709999,1,1.984,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.7_2.tif,1.7,1,,,,,0,13,13,64,,,,,,,,,,,,,,,,,,,1,space,7.5330155,1,0.618,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.8_3.tif,1.8,1,,,,,0,14,14,68,,,,,,,,,,,,,,,,,,,2,space,3.52198630001,1,1.983,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud80-20_D0.9_2.tif,0.9,2,,,,,0,15,15,76,,,,,,,,,,,,,,,,,,,2,space,4.20226769999,3,3.267,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.9_2.tif,1.9,0,,,,,0,16,16,34,,,,,,,,,,,,,,,,,,,3,space,3.71068309998,2,3.715,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.6_2.tif,1.6,1,,,,,0,17,17,61,,,,,,,,,,,,,,,,,,,1,None,,1,0.619,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.2_2.tif,1.2,1,,,,,0,18,18,49,,,,,,,,,,,,,,,,,,,2,space,5.19297259999,4,1.784,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1_3.tif,1.0,0,,,,,0,19,19,8,,,,,,,,,,,,,,,,,,,4,space,4.37521230004,5,2.649,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud80-20_D1_3.tif,1.0,2,,,,,0,20,20,80,,,,,,,,,,,,,,,,,,,2,space,5.12045589997,1,2.134,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.6_3.tif,1.6,0,,,,,0,21,21,26,,,,,,,,,,,,,,,,,,,1,space,4.00457220001,1,3.198,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.9_3.tif,1.9,1,,,,,0,22,22,71,,,,,,,,,,,,,,,,,,,None,None,,None,13.122,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud_D1.5_2.tif,1.5,0,,,,,0,23,23,22,,,,,,,,,,,,,,,,,,,1,space,4.42796820001,1,2.0,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
images/fcloud65-35_D1.5_2.tif,1.5,1,,,,,0,24,24,58,,,,,,,,,,,,,,,,,,,1,space,6.21753989998,4,2.567,,,,,,,,,,,,,,,,,,2019_Apr_22_1709,59.912491824659405,Cloud_Experiment_FR_REAL,001,42,
