ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,27.630359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,space,60.7329455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,space,226.2377919,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,4,13.518,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.0950647,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,2,space,5.3844609,5,9.378,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud_D0.8_30,0.8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,3,None,,1,22.598,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,2,space,7.5130349,2,2.601,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,2,None,,4,2.734,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud80-20_D1_30,1.0,2,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,1,space,3.7726195,5,6.88,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud65-35_D1.2_30,1.2,1,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,1,space,8.1526863,2,2.534,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud_D1.4_30,1.4,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,2,None,,4,10.244,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud65-35_D1.9_29,1.9,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,1,space,7.2675503,3,4.265,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud80-20_D1.8_30,1.8,2,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,3,space,2.6443145,5,1.951,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
pratique/fcloud_D1.6_28,1.6,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,2,None,,5,3.433,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.7971155,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
images/fcloud80-20_D1.1_3.tif,1.1,2,,,,,0,0,0,83,,,,,,,,,,,,,,,,,,,2,space,4.8238718,5,2.317,,,,,,,,,,,,,,,,,,2019_Apr_17_1659,59.189809882808504,Cloud_Experiment_FR_REAL,001,40,
