ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,13.7833110747,,,,,,,,,,,,,,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
,,,,,,,,,,,,,,,,,,,,,space,113.252987949,,,,,,,,,,,,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
,,,,,,,,,,,,,,,,,,,,,,,space,12.70678821,,,,,,,,,,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
,,,,,,,,,,,,,,,,,,,,,,,,,8,41.444,,,,,,,,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.73170192578,,,,,,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,1,space,5.98047461748,3,6.547,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
pratique/fcloud_D1.4_30,1.4,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,17.071,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,26.446,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,space,5.58525667322,2,3.017,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
pratique/fcloud_D0.8_30,0.8,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,13.041,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,61.098375378,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,1,space,7.02969803332,3,4.565,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
images/fcloud65-35_D0.8_2.tif,0.8,1,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,1,None,,1,1.025,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
images/fcloud65-35_D1.7_1.tif,1.7,1,,,,,0,2,2,63,,,,,,,,,,,,,,,,,,,1,None,,3,1.919,,,,,2019_Jan_19_1602,60.36679709877473,Cloud_Experiment_FR_REAL,001,07,
