ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,27.3961411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
,,,,,,,,,,,,,,,,,,,,,space,172.0179865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
,,,,,,,,,,,,,,,,,,,,,,,space,20.1503692,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
,,,,,,,,,,,,,,,,,,,,,,,,,7,17.013,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.0628101,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
pratique/fcloud80-20_D1_30,1.0,2,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,1,None,3,6.781,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
pratique/fcloud80-20_D1.5_30,1.5,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,2,None,2,6.631,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
pratique/fcloud_D1.4_30,1.4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,16.387,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
pratique/fcloud65-35_D1.6_30,1.6,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,1,space,1,1.818,4.652717,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
pratique/fcloud65-35_D1.3_30,1.3,1,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,1,None,4,2.768,,,,,,,,,,,,,,,,,,,2019_Sep_03_1819,60.890066638865704,Cloud_Experiment_FR_REAL,001,45,
